,OBJECT_NO,LINK_OBJECT_NO,LINK_DESCRIPTION,POSITION
0,29355,64603,D/S Meter,0
2,29355,148390,D/S Meter,2
4,29355,69211,D/S Meter,4
3,29355,64609,D/S Meter,3
8,29355,64621,D/S Meter,8
5,29355,64612,D/S Meter,5
6,29355,64615,D/S Meter,6
7,29355,64618,D/S Meter,7
1,29355,64606,D/S Meter,1
9,29355,64624,D/S Meter,9
10,58049,64627,D/S Meter,0
11,58049,64630,D/S Meter,1
12,58049,64633,D/S Meter,2
13,58049,64639,D/S Meter,3
14,58049,64645,D/S Meter,4
15,58049,64651,D/S Meter,5
16,58049,67231,D/S Meter,6
17,58049,69214,D/S Meter,7
18,58049,70321,D/S Meter,8
19,58049,29883,D/S Scour Valve,9
20,29355,58049,D/S Offtake,10
21,29355,64657,D/S Meter,11
22,29355,64660,D/S Meter,12
23,29355,64663,D/S Meter,13
24,29903,70975,D/S Meter,0
25,29903,64666,D/S Meter,1
26,29355,29903,D/S Offtake,14
27,29355,64669,D/S Meter,15
28,29939,64675,D/S Meter,0
29,29939,64672,D/S Meter,1
30,29355,29939,D/S Offtake,16
31,29355,64678,D/S Meter,17
32,29355,64684,D/S Meter,18
33,29355,69547,D/S Meter,19
34,29355,64744,D/S Meter,20
35,29957,64747,D/S Meter,0
36,29957,64690,D/S Meter,1
37,147458,69520,D/S Meter,0
38,29957,147458,D/S Offtake,2
39,29957,64693,D/S Meter,3
40,147479,64696,D/S Meter,0
41,29957,147479,D/S Offtake,4
42,29957,64699,D/S Meter,5
43,219201,64702,D/S Meter,0
44,219201,64705,D/S Meter,1
45,219201,64708,D/S Meter,2
46,29957,219201,D/S Offtake,6
47,29957,64711,D/S Meter,7
48,29957,64720,D/S Meter,8
49,30120,64729,D/S Meter,0
50,30120,64723,D/S Meter,1
51,30120,203355,D/S Scour Valve,2
52,29957,30120,D/S Offtake,9
53,29957,64717,D/S Meter,10
54,29957,64714,D/S Meter,11
55,29957,148876,D/S Scour Valve,12
56,29355,29957,D/S Offtake,21
57,29355,64732,D/S Meter,22
58,29355,64738,D/S Meter,23
59,29355,69550,D/S Meter,24
60,29355,69544,D/S Meter,25
61,29355,69541,D/S Meter,26
