EVENT_VALUE,TAG_ID,EVENT_TIME
87.8,1503610,2020-02-16
3197.4,1503611,2020-02-16
2806.5,1503612,2020-02-16
37.7,1503613,2020-02-16
12.2,1503614,2020-02-16
365.5,1503616,2020-02-16
0.001,1503617,2020-02-16
0.09300000000000001,1503618,2020-02-16
0.0,1503619,2020-02-16
0.0,1503620,2020-02-16
1.993,1503621,2020-02-16
2.886,1503622,2020-02-16
0.0,1503623,2020-02-16
1.173,1503624,2020-02-16
3.4330000000000003,1503625,2020-02-16
0.001,1503626,2020-02-16
0.7979999999999999,1503627,2020-02-16
0.0,1503628,2020-02-16
1.01,1503629,2020-02-16
18.213,1503630,2020-02-16
13.655999999999999,1503631,2020-02-16
0.0,1503632,2020-02-16
0.0,1503633,2020-02-16
0.0,1503634,2020-02-16
0.27899999999999997,1503635,2020-02-16
0.0,1503636,2020-02-16
0.0,1503637,2020-02-16
3.032,1503638,2020-02-16
3.391,1503639,2020-02-16
6.612,1503640,2020-02-16
10.106,1503641,2020-02-16
0.0,1503642,2020-02-16
0.0,1503643,2020-02-16
0.0,1503644,2020-02-16
0.0,1503645,2020-02-16
0.0,1503646,2020-02-16
0.0,1503647,2020-02-16
0.0,1503648,2020-02-16
0.0,1503649,2020-02-16
10.505999999999998,1503650,2020-02-16
8.619,1503651,2020-02-16
0.0,1503652,2020-02-16
0.0,1503653,2020-02-16
0.0,1503654,2020-02-16
0.0,1503655,2020-02-16
0.0,1503656,2020-02-16
0.0,1503657,2020-02-16
0.021,1503658,2020-02-16
0.545,1503659,2020-02-16
1.15,1503660,2020-02-16
-0.011000000000000001,1503661,2020-02-16
3.8339999999999996,1503662,2020-02-16
1.734,1503663,2020-02-16
6.405,1503664,2020-02-16
11.269,1503665,2020-02-16
1.089,1503666,2020-02-16
1.746,1503667,2020-02-16
1.659,1503668,2020-02-16
1.98,1503669,2020-02-16
0.044000000000000004,1503670,2020-02-16
0.573,1503671,2020-02-16
4.644,1503672,2020-02-16
4.6080000000000005,1503673,2020-02-16
0.0,1503674,2020-02-16
0.0,1503675,2020-02-16
2.426,1503676,2020-02-16
2.451,1503677,2020-02-16
0.0,1503678,2020-02-16
0.0,1503679,2020-02-16
4.575,1503680,2020-02-16
6.553,1503681,2020-02-16
4.3,1503682,2020-02-16
12.811,1503683,2020-02-16
2.6,1503684,2020-02-16
8.925,1503685,2020-02-16
3.14,1503686,2020-02-16
5.3020000000000005,1503687,2020-02-16
9.002,1503688,2020-02-16
13.354000000000001,1503689,2020-02-16
0.001,1503690,2020-02-16
0.126,1503691,2020-02-16
0.0,1503692,2020-02-16
3.9939999999999998,1503693,2020-02-16
4.297,1503694,2020-02-16
5.797000000000001,1503695,2020-02-16
7.809,1503696,2020-02-16
0.0,1503697,2020-02-16
0.0,1503698,2020-02-16
4.629,1503699,2020-02-16
7.82,1503700,2020-02-16
2.401,1503701,2020-02-16
2.204,1503702,2020-02-16
0.0,1503703,2020-02-16
24.184,1503704,2020-02-16
22.268,1503705,2020-02-16
0.0,1503706,2020-02-16
5.907,1503707,2020-02-16
10.144,1503708,2020-02-16
4.805,1503709,2020-02-16
5.746,1503710,2020-02-16
0.005,1503711,2020-02-16
1.2329999999999999,1503712,2020-02-16
0.133,1503713,2020-02-16
0.083,1503714,2020-02-16
0.0,1503715,2020-02-16
0.40399999999999997,1503716,2020-02-16
1.32,1503717,2020-02-16
11.366,1503718,2020-02-16
15.569,1503719,2020-02-16
0.0,1503720,2020-02-16
1.459,1503721,2020-02-16
1.248,1503722,2020-02-16
2.737,1503723,2020-02-16
4.056,1503724,2020-02-16
3.661,1503725,2020-02-16
4.8260000000000005,1503726,2020-02-16
0.001,1503727,2020-02-16
0.0,1503728,2020-02-16
5.9,1503729,2020-02-16
4.8069999999999995,1503730,2020-02-16
8.086,1503731,2020-02-16
11.697000000000001,1503732,2020-02-16
0.0,1503733,2020-02-16
0.0,1503734,2020-02-16
0.0,1503735,2020-02-16
0.0,1503736,2020-02-16
0.0,1503737,2020-02-16
0.0,1503738,2020-02-16
0.0,1503739,2020-02-16
0.0,1503740,2020-02-16
0.147,1503741,2020-02-16
10.027000000000001,1503742,2020-02-16
17.964000000000002,1503743,2020-02-16
7.4,1503744,2020-02-16
5.817,1503745,2020-02-16
6.4,1503746,2020-02-16
7.79,1503747,2020-02-16
0.0,1503748,2020-02-16
0.503,1503749,2020-02-16
0.0,1503750,2020-02-16
0.0,1503751,2020-02-16
0.5,1503752,2020-02-16
0.932,1503753,2020-02-16
0.0,1503754,2020-02-16
0.0,1503755,2020-02-16
0.039,1503756,2020-02-16
6.9,1503757,2020-02-16
6.841,1503758,2020-02-16
0.0,1503759,2020-02-16
1.7819999999999998,1503760,2020-02-16
1.278,1503761,2020-02-16
0.0,1503762,2020-02-16
0.0,1503763,2020-02-16
1.9,1503764,2020-02-16
1.7369999999999999,1503765,2020-02-16
0.0,1503766,2020-02-16
0.0,1503767,2020-02-16
1.0,1503768,2020-02-16
3.0589999999999997,1503769,2020-02-16
1.2,1503770,2020-02-16
3.68,1503771,2020-02-16
0.0,1503772,2020-02-16
0.0,1503773,2020-02-16
0.43,1503774,2020-02-16
1.6,1503775,2020-02-16
1.52,1503776,2020-02-16
0.0,1503777,2020-02-16
0.0,1503778,2020-02-16
0.0,1503779,2020-02-16
0.0,1503780,2020-02-16
0.0,1503781,2020-02-16
0.0,1503782,2020-02-16
0.0,1503783,2020-02-16
0.0,1503784,2020-02-16
0.0,1503785,2020-02-16
0.0,1503786,2020-02-16
0.0,1503787,2020-02-16
0.0,1503788,2020-02-16
1.9,1503789,2020-02-16
0.0,1503790,2020-02-16
0.039,1503791,2020-02-16
3.2880000000000003,1503792,2020-02-16
4.102,1503793,2020-02-16
0.0,1503794,2020-02-16
0.0,1503795,2020-02-16
0.0,1503796,2020-02-16
0.0,1503797,2020-02-16
0.013999999999999999,1503798,2020-02-16
0.505,1503799,2020-02-16
0.0,1503800,2020-02-16
0.0,1503801,2020-02-16
0.006999999999999999,1503802,2020-02-16
0.26,1503803,2020-02-16
0.0,1503804,2020-02-16
0.0,1503805,2020-02-16
0.162,1503806,2020-02-16
0.319,1503807,2020-02-16
0.0,1503808,2020-02-16
0.0,1503809,2020-02-16
0.0,1503810,2020-02-16
0.462,1503811,2020-02-16
0.0,1503812,2020-02-16
0.0,1503813,2020-02-16
0.0,1503814,2020-02-16
0.0,1503815,2020-02-16
0.0,1503816,2020-02-16
0.0,1503817,2020-02-16
0.0,1503818,2020-02-16
0.0,1503819,2020-02-16
0.0,1503820,2020-02-16
0.0,1503821,2020-02-16
0.0,1503822,2020-02-16
66.665,1503823,2020-02-16
66.69800000000001,1503824,2020-02-16
0.0,1503825,2020-02-16
0.0,1503826,2020-02-16
0.0,1503827,2020-02-16
