System Efficiency between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
for period 2020-01-16 00:00 to 2020-02-17 00:00

System Efficiency (%):, 95.0

Diverted (ML):, 6570.6 0.0
Delivered (ML):, 6241.7
Evaporative loss (ML):, 54.3
Rainfall (ML):, 25.7
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 300.4

Outlets
Telemetered:, 166
Manually read:, 51 
Unmetered sites:, 4
Total:, 221
46 manually read meters are missing up to date readings.
outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M1845/1,64603,3.347,3.455,,-3.134,
M1845A/P,64606,,,0.000,,
N134/P,148390,,,,,
M1846/1,64609,1.994,3.546,,-43.775,
N599/P,69211,,,,,
M1846/2,64612,1.314,1.981,,-33.678,
M1848/1,64615,0.020,2.166,,-99.081,
M1848/2,64618,0.002,1.267,,-99.834,
GOLFC/1,64621,28.774,24.520,,14.783,
M1848/3,64624,0.000,0.000,,,
M1846A/1,64627,0.000,0.000,,,
M1868/1,64630,0.000,0.000,,,
M1870/1,64633,5.000,7.594,,-34.162,
M1876/1,64639,11.870,14.969,,-20.702,
M1874/P,64645,,,,,
M1820/1,64651,0.000,0.000,,,
M1825B/P,67231,,,,,
M1825/2,69214,0.000,0.000,,,
M853/P,70321,,,,,
GUNC/P,64657,,,,,
M1850/1,64660,12.798,13.877,,-7.776,
M1850/2,64663,0.000,0.000,,,
M1852/P,70975,,,,,
M1867A/1,64666,0.000,0.178,,-99.977,
N560/P,64669,,,,,
M1853/1,64675,0.035,3.156,,-98.879,
M1866/1,64672,1.600,2.734,,-41.482,
M1853/2,64678,4.988,7.544,,-33.872,
M1853/3,64684,8.873,12.290,,-27.801,
M1858/1,69547,4.099,6.154,,-33.391,
M1854/1,64744,3.154,3.000,,4.891,
M1854/2,64747,0.000,0.000,,,
M1864/1,64690,9.628,12.615,,-23.677,
M1862/1,69520,0.000,0.000,,,
M1865/1,64693,6.265,7.559,,-17.119,
M1867/1,64696,0.000,0.000,,,
M1866/2,64699,6.186,7.591,,-18.514,
M1864/2,64702,8.500,13.542,,-37.232,
M1864/3,64705,4.800,7.392,,-35.061,
M1866/3,64708,6.138,6.834,,-10.187,
M1876/2,64711,8.798,10.508,,-16.278,
M2560/1,64720,0.006,0.000,,100.000,
M1887/P,64729,,,,,
M1874A/1,64723,5.295,6.560,,-19.288,
M1885/1,64717,7.927,7.208,,9.075,
M1884/1,64714,0.000,0.000,,,
M1855/1,64732,7.902,12.386,,-36.200,
M1830/2,64738,4.984,5.709,,-12.700,
M1856/D,69550,,,,,
M1857/1,69544,20.567,19.198,,6.656,
M1851/P,69541,,,,,
M1857/2,69553,10.049,13.468,,-25.382,
M1860/1,67468,6.881,12.188,,-43.547,
M1854B/1,64741,0.644,7.711,,-91.650,
M1861/1,70399,0.359,0.122,,66.049,
N601/P,64753,,,,,
M1865/2,64750,0.767,2.007,,-61.773,
