System Efficiency between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
for period 2020-03-16 00:00 to 2020-04-17 00:00

System Efficiency (%):, 85.1

Diverted (ML):, 2330.8 0.0
Delivered (ML):, 1984.5
Evaporative loss (ML):, 28.1
Rainfall (ML):, 15.7
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 334.0

Outlets
Telemetered:, 166
Manually read:, 51 
Unmetered sites:, 4
Total:, 221

outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M1845/1,64603,2.687,3.781,,-28.942,
M1845A/P,64606,,,0.000,,
N134/P,148390,,,0.000,,
M1846/1,64609,1.871,6.517,,-71.292,
N599/P,69211,,,0.000,,
M1846/2,64612,1.230,0.328,,73.364,
M1848/1,64615,0.000,0.632,,-99.984,
M1848/2,64618,0.000,0.000,,,
GOLFC/1,64621,13.352,12.615,,5.516,
M1848/3,64624,0.000,0.000,,,
M1846A/1,64627,0.000,0.000,,,
M1868/1,64630,0.000,0.000,,,
M1870/1,64633,3.584,5.131,,-30.147,
M1876/1,64639,2.519,3.795,,-33.628,
M1874/P,64645,,,0.000,,
M1820/1,64651,0.000,0.000,,100.000,
M1825B/P,67231,,,9.000,,
M1825/2,69214,0.000,0.000,,,
M853/P,70321,,,0.000,,
GUNC/P,64657,,,0.000,,
M1850/1,64660,5.963,14.197,,-57.998,
M1850/2,64663,0.000,0.000,,,
M1852/P,70975,,,0.000,,
M1867A/1,64666,0.000,0.000,,,
N560/P,64669,,,0.000,,
M1853/1,64675,0.010,0.658,,-98.423,
M1866/1,64672,0.343,1.761,,-80.498,
M1853/2,64678,2.324,4.082,,-43.058,
M1853/3,64684,6.256,9.313,,-32.827,
M1858/1,69547,1.692,3.918,,-56.810,
M1854/1,64744,1.389,3.478,,-60.065,
M1854/2,64747,0.000,0.000,,,
M1864/1,64690,5.269,6.800,,-22.514,
M1862/1,69520,0.000,0.000,,,
M1865/1,64693,0.000,0.000,,,
M1867/1,64696,0.000,0.000,,,
M1866/2,64699,2.982,3.061,,-2.590,
M1864/2,64702,4.700,8.686,,-45.893,
M1864/3,64705,2.600,5.271,,-50.677,
M1866/3,64708,2.651,3.248,,-18.376,
M1876/2,64711,4.226,4.268,,-0.972,
M2560/1,64720,0.000,0.202,,-99.981,
M1887/P,64729,,,0.000,,
M1874A/1,64723,2.286,2.923,,-21.784,
M1885/1,64717,3.556,6.197,,-42.617,
M1884/1,64714,0.000,0.000,,100.000,
M1855/1,64732,3.659,7.795,,-53.064,
M1830/2,64738,3.096,5.229,,-40.796,
M1856/D,69550,,,0.000,,
M1857/1,69544,6.967,7.121,,-2.164,
M1851/P,69541,,,0.000,,
M1857/2,69553,4.382,6.007,,-27.048,
M1860/1,67468,2.861,2.643,,7.615,
M1854B/1,64741,0.000,0.000,,100.000,
M1861/1,70399,0.132,0.000,,100.000,
N601/P,64753,,,0.000,,
M1865/2,64750,0.008,0.283,,-97.099,
M1882A/1,64756,4.007,6.262,,-36.012,
M1882B/D,219615,,,0.000,,
M1858/2,64759,2.068,2.638,,-21.607,
M1859/1,70765,1.311,3.090,,-57.578,
M1860A/1,70768,1.899,3.126,,-39.260,
M1882/1,64768,0.170,1.426,,-88.077,
M1896A/1,64771,3.300,3.373,,-2.172,
M1895/1,69949,1.703,3.023,,-43.669,
MC10 ANDREATTAS ESCAPE,30252,0.000,0.000,,,
CAMPBELLS SWAMP,219709,0.000,0.000,,,
M1896/P,64777,,,0.000,,
M1895/2,64774,,,0.000,,
NERICON SWAMP,142432,,,0.000,,
M1893/1,67471,12.800,13.064,,-2.021,
M1891/1,64780,3.275,9.094,,-63.988,
M1891A/1,64783,6.600,5.829,,11.677,
M2785/1,64786,4.600,6.676,,-31.098,
M2699/1,67480,0.000,0.000,,,
M2784/1,64789,0.000,0.000,,,
M2783/1,67474,0.600,0.499,,16.797,
M2699A/P,67477,,,0.000,,
MC10 CAMPBELLS SWAMP ESC,200872,1.576,1.649,,-4.405,
M2782/1,64792,5.600,5.843,,-4.158,
N687/P,70324,,,0.000,,
M1844/1,70201,1.363,0.869,,36.253,
ESC L170,30417,,,,,
M1854A/1,69826,0.000,0.000,,,
M1898A/1,64795,1.300,1.488,,-12.656,
N494/P,141317,,,0.000,,
M1898/P,201042,,,0.000,,
M1898/1,64807,1.900,2.728,,-30.352,
M1893/2,64804,2.200,2.082,,5.384,
M2720/P,144910,,,0.000,,
M1893/4,64798,0.000,0.000,,,
M1893/5,64810,0.000,0.541,,-100.000,
M2435/1,64813,0.000,0.000,,,
MC10 ESC L173,30502,,,,,
M2628/1,64819,0.000,0.000,,,
M1893/3,64801,,,0.000,,
M1893/P,206578,,,0.000,,
M2628/2,69466,0.000,0.000,,,
M2398B/1,70195,0.000,0.000,,,
M2398/1,70519,0.000,0.000,,,
M2398F/1,145474,,,1.900,,
M2398C/1,64825,0.000,0.000,,,
M2019/1,64822,2.981,2.978,,0.121,
M2014/1,64828,0.000,0.000,,,
M2014/2,64831,0.000,0.000,,,
M1999/1,64834,0.004,0.037,,-88.229,
M1999/4,64837,0.000,0.000,,,
M2368A/1,69454,0.011,0.377,,-97.166,
M2014/3,64840,34.086,34.229,,-0.418,
M1999/2,64843,0.531,0.172,,67.642,
M1999/3,64846,0.000,0.000,,,
M1997/1,64852,0.000,0.000,,100.000,
M2583/2,64855,0.000,0.000,,,
M2583/1,64858,0.000,0.000,,,
M1988/1,67504,0.000,0.000,,,
M1988A/D,219467,,,0.000,,
M1986/1,64882,0.000,0.000,,,
M1986/2,64885,0.000,0.000,,,
M1985A/1,70492,64.661,86.738,,-25.452,
M2736/1,64891,0.056,0.000,,100.000,
M2584/1,64888,0.000,0.000,,,
M1985B/D,206014,,,0.000,,
M1985C/1,70501,0.000,0.000,,,
MC10 LAT 179 ESC,30773,,,,,
M2737/1,69838,,,0.000,,
M2368B/1,69445,,,0.000,,
PICNIC/1,145503,,,19.700,,
SAILING CLUB,64861,,,2.500,,
BOAT CLUB,70057,,,8.300,,
M2368B/2,69451,0.000,0.000,,,
M1165/1,64870,65.298,63.213,,3.193,
M1165/2,70912,,,0.000,,
M2674/P,142422,,,0.000,,
M1891B/D,208598,,,0.000,,
M1589/2,71170,,,0.000,,
M2737/2,64879,7.905,10.938,,-27.730,
M1988/2,64873,0.000,0.000,,,
M1988/3,64876,0.000,0.000,,,
M2368B/3,69442,,,26.500,,
M2398D/1,70015,15.400,15.001,,2.595,
M1998/1,67507,28.800,32.782,,-12.147,
M2628B/1,64894,0.000,0.000,,,
M2628C/D,206039,,,0.000,,
M2741/1,64897,0.000,0.000,,,
M2741/2,220363,,,2.000,,
M2741A/1,70360,,,2.000,,
N244/1,64900,2.264,4.626,,-51.051,
N605/1,64903,44.835,41.424,,7.608,
M2741A/2,64906,0.000,0.000,,,
M2045/1,64909,3.100,4.537,,-31.679,
M2628D/1,64915,0.000,0.173,,-100.000,
N604/1,64918,0.100,2.335,,-95.718,
M2628E/1,70198,,,0.000,,
M2043/1,64921,0.000,0.036,,-100.000,
M2038A/1,64927,1.000,2.693,,-62.861,
M2614/1,70216,6.300,6.189,,1.760,
M2038/1,64924,0.900,0.951,,-5.339,
M2614/2,202028,,,3.900,,
M2615A/1,67510,14.400,14.340,,0.419,
M2038/2,64930,0.100,4.371,,-97.712,
N665/P,70693,,,0.000,,
M2615/D,70048,,,0.000,,
M2038C/1,64933,0.000,0.000,,,
M1631H/1,67513,3.000,3.352,,-10.498,
M2038B/1,64936,0.000,0.000,,,
M1997/2,64939,0.700,0.401,,42.714,
M1997/3,64942,0.000,0.000,,,
M1985/1,64954,3.700,5.334,,-30.631,
M1631D/1,68062,0.000,0.000,,,
MC10 TEMPORALIS ESCAPE,55372,0.000,0.000,,,
M2646/P,69469,,,0.000,,
M2628A/1,69475,17.858,21.930,,-18.569,
M2040A/1,69472,17.800,18.963,,-6.136,
M2040/P,64960,,,0.000,,
M2743/1,70297,197.998,199.541,,-0.773,
M2041A/1,67516,5.454,6.994,,-22.024,
M1986/3,67519,0.000,0.000,,,
MC10 LAT 188 ESC,59753,,,,,
M2045A/1,64957,15.509,19.694,,-21.251,
N689/P,70438,,,0.000,,
N579/1,64966,2.700,4.596,,-41.253,
N566/1,64969,12.232,18.685,,-34.534,
M2041/1,214447,141.815,146.643,,-3.292,
M2041/2,71131,0.000,0.000,,,
N567/1,64972,0.300,1.727,,-82.634,
N568/1,64981,3.400,4.993,,-31.906,
N569/1,64978,7.031,11.213,,-37.294,
N570/1,64975,11.400,11.928,,-4.427,
N571/1,64984,3.700,5.633,,-34.314,
N572/1,64987,3.600,9.272,,-61.174,
N573/1,64996,9.600,8.877,,7.532,
N574/1,64993,23.500,23.737,,-0.999,
N575/1,64990,5.800,7.399,,-21.610,
N578/1,64999,1.400,1.478,,-5.307,
MC10 NEWFARMS ESCAPE,31065,0.000,0.000,,,
N576/1,65002,16.100,16.507,,-2.464,
M1997/4,65005,0.000,0.001,,-100.000,
N577A/P,65008,,,0.000,,
N577/1,65011,7.300,15.353,,-52.451,
T16/1,67522,37.414,19.202,,48.676,
BWUA/1,65020,3.148,1.776,,43.581,
M2042/1,65014,30.800,26.788,,13.028,
M2014A/1,65017,0.000,0.000,,,
T16A/1,141752,80.030,79.197,,1.041,
T15C/1,69787,86.101,86.588,,-0.563,
M2042A/1,70036,50.963,50.066,,1.761,
T17/1,69784,102.899,102.980,,-0.078,
T17/2,65026,0.000,0.041,,-100.000,
T15/1,65023,208.824,208.208,,0.295,
T15A/D,67528,,,0.000,,
T14C/P,70573,,,0.000,,
T17/3,214443,186.238,186.358,,-0.064,
T20B/1,65032,0.000,0.000,,,
T18/1,65029,0.000,0.000,,,
T18/2,65035,0.047,0.000,,100.000,
T20/1,65038,168.701,161.009,,4.559,
MC10 WILLIAMS ESCAPE,31175,0.000,0.000,,,
T20A/P,67531,,,0.000,,
T19A/1,69430,0.000,0.000,,,
T19/1,69433,0.000,0.000,,,
T14/1,65041,0.000,0.000,,,
, Total, 1908.7, 2027.8, 75.8, , 0.0

time of data collection: 2020-04-29 14:19

meters not read:
