TAG_ID,TAG_DESC,TAG_UNITS,OBJECT_NO
1503610,System_Efficiency,percent,29355
1503611,Diverted,ML,29355
1503612,Delivered,ML,29355
1503613,Evaporative_loss,ML,29355
1503614,Rainfall,ML,29355
1503615,Seepage_loss,ML,29355
1503616,Unaccounted_loss,ML,29355
1503617,RTU_totaliser,ML,64603
1503618,Flow_integral,ML,64603
1503619,Manual_reading,ML,64606
1503620,Manual_reading,ML,148390
1503621,RTU_totaliser,ML,64609
1503622,Flow_integral,ML,64609
1503623,Manual_reading,ML,69211
1503624,RTU_totaliser,ML,64612
1503625,Flow_integral,ML,64612
1503626,RTU_totaliser,ML,64615
1503627,Flow_integral,ML,64615
1503628,RTU_totaliser,ML,64618
1503629,Flow_integral,ML,64618
1503630,RTU_totaliser,ML,64621
1503631,Flow_integral,ML,64621
1503632,RTU_totaliser,ML,64624
1503633,Flow_integral,ML,64624
1503634,RTU_totaliser,ML,64627
1503635,Flow_integral,ML,64627
1503636,RTU_totaliser,ML,64630
1503637,Flow_integral,ML,64630
1503638,RTU_totaliser,ML,64633
1503639,Flow_integral,ML,64633
1503640,RTU_totaliser,ML,64639
1503641,Flow_integral,ML,64639
1503642,Manual_reading,ML,64645
1503643,RTU_totaliser,ML,64651
1503644,Flow_integral,ML,64651
1503645,Manual_reading,ML,67231
1503646,RTU_totaliser,ML,69214
1503647,Flow_integral,ML,69214
1503648,Manual_reading,ML,70321
1503649,Manual_reading,ML,64657
1503650,RTU_totaliser,ML,64660
1503651,Flow_integral,ML,64660
1503652,RTU_totaliser,ML,64663
1503653,Flow_integral,ML,64663
1503654,Manual_reading,ML,70975
1503655,RTU_totaliser,ML,64666
1503656,Flow_integral,ML,64666
1503657,Manual_reading,ML,64669
1503658,RTU_totaliser,ML,64675
1503659,Flow_integral,ML,64675
1503660,RTU_totaliser,ML,64672
1503661,Flow_integral,ML,64672
1503662,RTU_totaliser,ML,64678
1503663,Flow_integral,ML,64678
1503664,RTU_totaliser,ML,64684
1503665,Flow_integral,ML,64684
1503666,RTU_totaliser,ML,69547
1503667,Flow_integral,ML,69547
1503668,RTU_totaliser,ML,64744
1503669,Flow_integral,ML,64744
1503670,RTU_totaliser,ML,64747
1503671,Flow_integral,ML,64747
1503672,RTU_totaliser,ML,64690
1503673,Flow_integral,ML,64690
1503674,RTU_totaliser,ML,69520
1503675,Flow_integral,ML,69520
1503676,RTU_totaliser,ML,64693
1503677,Flow_integral,ML,64693
1503678,RTU_totaliser,ML,64696
1503679,Flow_integral,ML,64696
1503680,RTU_totaliser,ML,64699
1503681,Flow_integral,ML,64699
1503682,RTU_totaliser,ML,64702
1503683,Flow_integral,ML,64702
1503684,RTU_totaliser,ML,64705
1503685,Flow_integral,ML,64705
1503686,RTU_totaliser,ML,64708
1503687,Flow_integral,ML,64708
1503688,RTU_totaliser,ML,64711
1503689,Flow_integral,ML,64711
1503690,RTU_totaliser,ML,64720
1503691,Flow_integral,ML,64720
1503692,Manual_reading,ML,64729
1503693,RTU_totaliser,ML,64723
1503694,Flow_integral,ML,64723
1503695,RTU_totaliser,ML,64717
1503696,Flow_integral,ML,64717
1503697,RTU_totaliser,ML,64714
1503698,Flow_integral,ML,64714
1503699,RTU_totaliser,ML,64732
1503700,Flow_integral,ML,64732
1503701,RTU_totaliser,ML,64738
1503702,Flow_integral,ML,64738
1503703,Manual_reading,ML,69550
1503704,RTU_totaliser,ML,69544
1503705,Flow_integral,ML,69544
1503706,Manual_reading,ML,69541
1503707,RTU_totaliser,ML,69553
1503708,Flow_integral,ML,69553
1503709,RTU_totaliser,ML,67468
1503710,Flow_integral,ML,67468
1503711,RTU_totaliser,ML,64741
1503712,Flow_integral,ML,64741
1503713,RTU_totaliser,ML,70399
1503714,Flow_integral,ML,70399
1503715,Manual_reading,ML,64753
1503716,RTU_totaliser,ML,64750
1503717,Flow_integral,ML,64750
1503718,RTU_totaliser,ML,64756
1503719,Flow_integral,ML,64756
1503720,Manual_reading,ML,219615
1503721,RTU_totaliser,ML,64759
1503722,Flow_integral,ML,64759
1503723,RTU_totaliser,ML,70765
1503724,Flow_integral,ML,70765
1503725,RTU_totaliser,ML,70768
1503726,Flow_integral,ML,70768
1503727,RTU_totaliser,ML,64768
1503728,Flow_integral,ML,64768
1503729,RTU_totaliser,ML,64771
1503730,Flow_integral,ML,64771
1503731,RTU_totaliser,ML,69949
1503732,Flow_integral,ML,69949
1503733,RTU_totaliser,ML,30252
1503734,Flow_integral,ML,30252
1503735,RTU_totaliser,ML,219709
1503736,Flow_integral,ML,219709
1503737,Manual_reading,ML,64777
1503738,Manual_reading,ML,64774
1503739,Manual_reading,ML,142432
1503740,RTU_totaliser,ML,67471
1503741,Flow_integral,ML,67471
1503742,RTU_totaliser,ML,64780
1503743,Flow_integral,ML,64780
1503744,RTU_totaliser,ML,64783
1503745,Flow_integral,ML,64783
1503746,RTU_totaliser,ML,64786
1503747,Flow_integral,ML,64786
1503748,RTU_totaliser,ML,67480
1503749,Flow_integral,ML,67480
1503750,RTU_totaliser,ML,64789
1503751,Flow_integral,ML,64789
1503752,RTU_totaliser,ML,67474
1503753,Flow_integral,ML,67474
1503754,Manual_reading,ML,67477
1503755,RTU_totaliser,ML,200872
1503756,Flow_integral,ML,200872
1503757,RTU_totaliser,ML,64792
1503758,Flow_integral,ML,64792
1503759,Manual_reading,ML,70324
1503760,RTU_totaliser,ML,70201
1503761,Flow_integral,ML,70201
1503762,RTU_totaliser,ML,69826
1503763,Flow_integral,ML,69826
