Meter data between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
from: 2019-12-16 00:00 to 2020-01-16 10:37
asset_code,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff
M1845/1,64603,6.917200000000008,6.886296931434028,,0.004467569040360242
M1845A/P,64606,,,0.0,
N134/P,148390,,,0.0,
M1846/1,64609,5.568399999999997,8.478512073135402,,-0.34323381839087586
N599/P,69211,,,0.0,
M1846/2,64612,4.483999999999995,4.7621890623194565,,-0.05841621545868823
M1848/1,64615,0.009599999999977626,0.0,,1.0
M1848/2,64618,8.183300000000003,10.788035637633692,,-0.2414467031001602
GOLFC/1,64621,44.281000000000176,34.60799100000003,,0.2184460378040268
M1848/3,64624,0.0,0.0,,
M1846A/1,64627,0.0,0.0,,
M1868/1,64630,0.0,0.0,,
M1870/1,64633,7.900000000000006,9.038125555555556,,-0.12592495518674968
M1876/1,64639,17.04849999999999,18.43535105062615,,-0.07522780807469655
M1874/P,64645,,,0.0,
M1820/1,64651,0.0,0.0,,
M1825B/P,67231,,,0.0,
M1825/2,69214,0.0,0.0,,
M853/P,70321,,,0.0,
GUNC/P,64657,,,0.0,
M1850/1,64660,20.61450000000002,21.964326120088575,,-0.06145538509619939
M1850/2,64663,0.0,0.0,,
M1852/P,70975,,,0.0,
M1867A/1,64666,0.0,0.0,,
N560/P,64669,,,0.0,
M1853/1,64675,0.11567799999999993,4.632780324750573,,-0.9750305449662718
M1866/1,64672,1.8911099999999976,3.7154716200248887,,-0.49101750910767833
M1853/2,64678,9.17580000000001,12.679546280058787,,-0.27633057229887986
M1853/3,64684,18.12,22.034095499999992,,-0.17763812905322085
M1858/1,69547,6.590000000000003,9.391252500000004,,-0.2982831629753325
M1854/1,64744,5.158600000000007,5.418561475443853,,-0.04797610521204826
M1854/2,64747,0.0,0.0,,
M1864/1,64690,10.92040000000003,12.347364673934035,,-0.11556835904801664
M1862/1,69520,0.0,0.0,,
M1865/1,64693,14.081500000000005,16.154828633341427,,-0.12834110967060006
M1867/1,64696,4.073679999999996,4.0674560647638875,,0.001527840978208507
M1866/2,64699,8.456000000000019,10.301438141956604,,-0.17914373862425306
M1864/2,64702,9.5,13.855079178240729,,-0.3143308762233809
M1864/3,64705,5.599999999999994,8.844932968750001,,-0.3668691419386294
M1866/3,64708,6.842,11.652536999999999,,-0.41283172926204825
M1876/2,64711,16.095699999999965,19.15678962044448,,-0.15979136802638708
M2560/1,64720,0.0023200000000000998,0.6207419510943288,,-0.996262537120441
M1887/P,64729,,,0.0,
M1874A/1,64723,11.039699999999982,16.051298913321183,,-0.31222388545527674
M1885/1,64717,14.063700000000042,16.30322532461978,,-0.13736701051648925
M1884/1,64714,0.0,0.0,,
M1855/1,64732,13.700899999999931,17.207177282686935,,-0.20376830116203065
M1830/2,64738,10.692999999999984,10.368111499999996,,0.030383288132421978
M1856/D,69550,,,0.0,
M1857/1,69544,18.462999999999962,18.073078000000006,,0.021119103071004536
M1851/P,69541,,,0.0,
M1857/2,69553,12.42489999999998,13.264127704615722,,-0.06327047833863239
M1860/1,67468,9.531900000000007,15.052762510515029,,-0.3667673961280165
M1854B/1,64741,0.9709300000000098,3.876867279983795,,-0.7495581019724595
M1861/1,70399,0.6699999999999999,0.3165865000000001,,0.5274828358208953
