System Efficiency between SCOTTS RD REGULATOR (29355) and T14/1 (65041),,
for period 2019-12-16 00:00 to 2020-01-17 00:00,,
,,
System Efficiency (%):,96.2,
,,
Diverted (ML):,9470.7,
Delivered (ML):,9108.8,
Evaporative loss (ML):,60.4,
Seepage loss (ML):, not yet implemented,
Unaccounted loss (ML):,301.5,
,,
Outlets,,
Telemetered:,166,
Manually read:,51,
Unmetered sites:,4,
Total:,221,
36 manually read meters are missing up to date readings.,,
,,
outlet,RTU_totaliser (ML),manual_reading (ML)
M1845/1,6.9,
M1845A/P,,0
N134/P,,
M1846/1,5.6,
N599/P,,
M1846/2,4.5,
M1848/1,0,
M1848/2,8.2,
GOLFC/1,44.7,
M1848/3,0,
M1846A/1,0,
M1868/1,0,
M1870/1,7.9,
M1876/1,17.2,
M1874/P,,
M1820/1,0,
M1825B/P,,
M1825/2,0,
M853/P,,
GUNC/P,,
M1850/1,21.4,
M1850/2,0,
M1852/P,,
M1867A/1,0,
N560/P,,
M1853/1,0.1,
M1866/1,2.3,
M1853/2,9.5,
M1853/3,18.1,
M1858/1,6.7,
M1854/1,5.2,
M1854/2,0,
M1864/1,10.9,
M1862/1,0,
M1865/1,15.3,
M1867/1,4.1,
M1866/2,8.5,
M1864/2,9.5,
M1864/3,5.6,
M1866/3,6.8,
M1876/2,16.1,
M2560/1,0,
M1887/P,,
M1874A/1,11,
M1885/1,14.6,
M1884/1,0,
M1855/1,13.7,
M1830/2,10.7,
M1856/D,,
M1857/1,18.5,
M1851/P,,
M1857/2,12.4,
M1860/1,9.8,
M1854B/1,1,
M1861/1,0.7,
N601/P,,
M1865/2,1.8,
M1882A/1,21.8,
M1882B/D,,
M1858/2,6.9,
M1859/1,8.8,
M1860A/1,14.3,
M1882/1,0.6,
M1896A/1,12.4,
M1895/1,42.1,
MC10 ANDREATTAS ESCAPE,12.1,
CAMPBELLS SWAMP,0,
M1896/P,,
M1895/2,,
NERICON SWAMP,,0
M1893/1,13.6,
M1891/1,77.1,
M1891A/1,22.7,
M2785/1,18.7,
M2699/1,0,
M2784/1,0,
M2783/1,1.5,
M2699A/P,,
MC10 CAMPBELLS SWAMP ESC,0,
M2782/1,18.4,
N687/P,,
M1844/1,4.6,
ESC L170,,
M1854A/1,0,
M1898A/1,3.6,
N494/P,,
M1898/P,,0
M1898/1,3.5,
M1893/2,7.7,
M2720/P,,
M1893/4,0.1,
M1893/5,32.8,
M2435/1,79.5,
MC10 ESC L173,,
M2628/1,0,
M1893/3,,0
M1893/P,,
M2628/2,0,
M2398B/1,0,
M2398/1,0,
M2398F/1,,
M2398C/1,0,
M2019/1,14.9,
M2014/1,0,
M2014/2,0,
M1999/1,30.4,
M1999/4,9.9,
M2368A/1,0,
M2014/3,31.4,
M1999/2,19.9,
M1999/3,21.4,
M1997/1,0,
M2583/2,0,
M2583/1,0,
M1988/1,0,
M1988A/D,,
M1986/1,0,
M1986/2,0,
M1985A/1,308,
M2736/1,5.1,
M2584/1,0,
M1985B/D,,
M1985C/1,30.5,
MC10 LAT 179 ESC,,
M2737/1,,0
M2368B/1,,0
PICNIC/1,,3.4
SAILING CLUB,,
BOAT CLUB,,
M2368B/2,0,
M1165/1,438,
M1165/2,,33.4
M2674/P,,0
M1891B/D,,
M1589/2,,0
M2737/2,19.2,
M1988/2,0,
M1988/3,0,
M2368B/3,,135.4
M2398D/1,178.7,
M1998/1,149.4,
M2628B/1,0,
M2628C/D,,
M2741/1,0,
M2741/2,,0
M2741A/1,,1.2
N244/1,20,
N605/1,130.1,
M2741A/2,0,
M2045/1,20.4,
M2628D/1,0.2,
N604/1,0,
M2628E/1,,0
M2043/1,0.9,
M2038A/1,1.4,
M2614/1,66,
M2038/1,2.5,
M2614/2,,13.5
M2615A/1,65.5,
M2038/2,0,
N665/P,,
M2615/D,,
M2038C/1,0,
M1631H/1,48.4,
M2038B/1,0.3,
M1997/2,1.8,
M1997/3,0,
M1985/1,2.7,
M1631D/1,0,
MC10 TEMPORALIS ESCAPE,551.8,
M2646/P,,
M2628A/1,76,
M2040A/1,101.4,
M2040/P,,
M2743/1,377.6,
M2041A/1,4.9,
M1986/3,0,
MC10 LAT 188 ESC,,
M2045A/1,23.7,
N689/P,,
N579/1,18.6,
N566/1,35.9,
M2041/1,809.7,
M2041/2,0,
N567/1,2.9,
N568/1,9.7,
N569/1,33.2,
N570/1,21.9,
N571/1,1,
N572/1,56.9,
N573/1,24.8,
N574/1,37,
N575/1,23.1,
N578/1,9.6,
MC10 NEWFARMS ESCAPE,0,
N576/1,81.5,
M1997/4,0,
N577A/P,,
N577/1,49.1,
T16/1,429.3,
BWUA/1,3.8,
M2042/1,242.5,
M2014A/1,0,
T16A/1,352.4,
T15C/1,575,
M2042A/1,310.7,
T17/1,362.9,
T17/2,309.7,
T15/1,1095.2,
T15A/D,,
T14C/P,,
T17/3,502.9,
T20B/1,0,
T18/1,1.6,
T18/2,2.3,
T20/1,0,
MC10 WILLIAMS ESCAPE,0,
T20A/P,,
T19A/1,0.1,
T19/1,0,
T14/1,34.3,
 Total,8921.9,186.9
,,
time of data collection: 2020-02-13 13:46,,
,,
meters not read:,,
,69550,
,67477,
,141317,
,219615,
,70438,
,69469,
,64777,
,70975,
,64645,
,67528,
,148390,
,145474,
,208598,
,70321,
,206578,
,70324,
,70048,
,64960,
,64861,
,70057,
,64774,
,67531,
,64753,
,206014,
,206039,
,65008,
,64657,
,144910,
,70573,
,67231,
,69211,
,219467,
,64669,
,70693,
,64729,
,69541,
