System Efficiency between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
for period 2020-02-16 00:00 to 2020-03-17 00:00

System Efficiency (%):, 87.9

Diverted (ML):, 3196.2
Delivered (ML):, 2808.4
Evaporative loss (ML):, 35.2
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 352.6

Outlets
Telemetered:, 166
Manually read:, 51 
Unmetered sites:, 4
Total:, 221

outlet,RTU_totaliser (ML),manual_reading (ML)
M1845/1,0.0,
M1845A/P,,0.0
N134/P,,0.0
M1846/1,2.0,
N599/P,,0.0
M1846/2,1.2,
M1848/1,0.0,
M1848/2,0.0,
GOLFC/1,18.2,
M1848/3,0.0,
M1846A/1,0.0,
M1868/1,0.0,
M1870/1,3.0,
M1876/1,6.6,
M1874/P,,0.0
M1820/1,0.0,
M1825B/P,,0.0
M1825/2,0.0,
M853/P,,0.0
GUNC/P,,0.0
M1850/1,10.5,
M1850/2,0.0,
M1852/P,,0.0
M1867A/1,0.0,
N560/P,,0.0
M1853/1,0.0,
M1866/1,1.1,
M1853/2,3.8,
M1853/3,6.4,
M1858/1,1.1,
M1854/1,1.7,
M1854/2,0.0,
M1864/1,4.6,
M1862/1,0.0,
M1865/1,2.4,
M1867/1,0.0,
M1866/2,4.6,
M1864/2,4.3,
M1864/3,2.6,
M1866/3,3.1,
M1876/2,9.0,
M2560/1,0.0,
M1887/P,,0.0
M1874A/1,4.0,
M1885/1,5.8,
M1884/1,0.0,
M1855/1,4.6,
M1830/2,2.4,
M1856/D,,0.0
M1857/1,24.2,
M1851/P,,0.0
M1857/2,5.9,
M1860/1,4.8,
M1854B/1,0.0,
M1861/1,0.1,
N601/P,,0.0
M1865/2,0.4,
M1882A/1,11.3,
M1882B/D,,0.0
M1858/2,1.5,
M1859/1,2.7,
M1860A/1,3.7,
M1882/1,0.0,
M1896A/1,5.9,
M1895/1,8.1,
MC10 ANDREATTAS ESCAPE,0.0,
CAMPBELLS SWAMP,0.0,
M1896/P,,0.0
M1895/2,,0.0
NERICON SWAMP,,0.0
M1893/1,0.0,
M1891/1,10.0,
M1891A/1,7.4,
M2785/1,6.4,
M2699/1,0.0,
M2784/1,0.0,
M2783/1,0.5,
M2699A/P,,0.0
MC10 CAMPBELLS SWAMP ESC,0.0,
M2782/1,6.8,
N687/P,,0.0
M1844/1,1.7,
ESC L170,,
M1854A/1,0.0,
M1898A/1,1.9,
N494/P,,0.0
M1898/P,,0.0
M1898/1,1.0,
M1893/2,1.2,
M2720/P,,0.0
M1893/4,0.0,
M1893/5,1.6,
M2435/1,0.0,
MC10 ESC L173,,
M2628/1,0.0,
M1893/3,,0.0
M1893/P,,0.0
M2628/2,0.0,
M2398B/1,0.0,
M2398/1,0.0,
M2398F/1,,1.9
M2398C/1,0.0,
M2019/1,3.3,
M2014/1,0.0,
M2014/2,0.0,
M1999/1,0.0,
M1999/4,0.0,
M2368A/1,0.0,
M2014/3,0.0,
M1999/2,0.2,
M1999/3,0.0,
M1997/1,0.0,
M2583/2,0.0,
M2583/1,0.0,
M1988/1,0.0,
M1988A/D,,0.0
M1986/1,0.0,
M1986/2,0.0,
M1985A/1,66.7,
M2736/1,0.0,
M2584/1,0.0,
M1985B/D,,0.0
M1985C/1,1.2,
MC10 LAT 179 ESC,,
M2737/1,,0.0
M2368B/1,,0.0
PICNIC/1,,19.7
SAILING CLUB,,2.5
BOAT CLUB,,8.3
M2368B/2,0.0,
M1165/1,94.5,
M1165/2,,0.0
M2674/P,,0.0
M1891B/D,,0.0
M1589/2,,0.0
M2737/2,8.0,
M1988/2,0.0,
M1988/3,0.0,
M2368B/3,,18.8
M2398D/1,42.6,
M1998/1,43.1,
M2628B/1,0.0,
M2628C/D,,0.0
M2741/1,0.0,
M2741/2,,2.0
M2741A/1,,2.0
N244/1,11.8,
N605/1,54.7,
M2741A/2,0.0,
M2045/1,12.4,
M2628D/1,0.4,
N604/1,0.0,
M2628E/1,,0.0
M2043/1,1.0,
M2038A/1,0.9,
M2614/1,10.6,
M2038/1,0.9,
M2614/2,,7.7
M2615A/1,17.9,
M2038/2,0.1,
N665/P,,0.0
M2615/D,,0.0
M2038C/1,0.0,
M1631H/1,13.3,
M2038B/1,0.1,
M1997/2,1.3,
M1997/3,0.0,
M1985/1,0.0,
M1631D/1,0.0,
MC10 TEMPORALIS ESCAPE,0.0,
M2646/P,,0.0
M2628A/1,19.8,
M2040A/1,32.6,
M2040/P,,0.0
M2743/1,72.3,
M2041A/1,16.0,
M1986/3,0.0,
MC10 LAT 188 ESC,,
M2045A/1,20.1,
N689/P,,0.0
