Water balance between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
pool,pool_name,dates,IN (ML),delivered (ML),balance (ML),rubicon_PE (%),MI_PE (%),manually_read (ML),total meters,meters not used,negative meters
29355,SCOTTS RD REGULATOR,2019-10-09 - 2019-11-09,3537.5,164.8,-265.8,107.5,-163.1,0.0,62,set(),"['64603', '64609', '64612', '64618', '64630', '64639', '64660', '64675', '64672', '64678', '64744', '64720', '64723', '64717', '64732', '69553', '64741', '70399', '64750', '64756']"
30239,ANDREATTAS REGULATOR,2019-10-09 - 2019-11-09,3638.5,365.5,353.4,90.3,50.8,0.0,28,{'30417'},"['64771', '64783', '64786', '67474', '70201']"
30460,JONES REGULATOR,2019-10-09 - 2019-11-09,2919.6,54.9,166.1,94.3,24.8,0.0,10,{'30502'},['64810']
30516,DELUCHIS REGULATOR,2019-10-09 - 2019-11-09,2698.6,0.0,-226.6,108.4,-0.0,0.0,6,set(),[]
30525,NERICON REGULATOR,2019-10-09 - 2019-11-09,2925.2,813.9,379.6,87.0,68.2,82.6,56,{'30773'},"['70195', '64822', '64834', '64837', '64843', '64885', '67507', '64900', '64909']"
30822,APOLONIS REGULATOR,2019-10-09 - 2019-11-09,1731.7,32.1,15.8,99.1,67.0,8.3,8,set(),['70216']
30840,OVERS REGULATOR,2019-10-09 - 2019-11-09,1683.8,42.8,-35.6,102.1,591.9,0.0,14,set(),"['67510', '67513']"
30868,QUARY RD REGULATOR,2019-10-09 - 2019-11-09,1676.5,526.2,93.2,94.4,84.9,0.0,20,{'59753'},"['67516', '64966', '64972', '64981', '64975']"
30996,SCARFONES REGULATOR,2019-10-09 - 2019-11-09,1057.1,57.8,-5439.2,614.5,-1.1,0.0,7,set(),"['64987', '64996', '64993', '64990']"
31050,FRASER RD REGULATOR,2019-10-09 - 2019-11-09,6438.5,56.5,5507.8,14.5,1.0,0.0,8,set(),"['64999', '65002', '65005', '65011']"
31075,WOODS REGULATOR,2019-10-09 - 2019-11-09,874.2,289.7,-73.7,108.4,134.1,0.0,7,set(),['65014']
31109,BOORGA RD REGULATOR,2019-10-09 - 2019-11-09,658.1,176.3,90.2,86.3,66.1,0.0,4,set(),['69787']
31128,ROMBOLAS REGULATOR,2019-10-09 - 2019-11-09,391.6,112.5,4.6,98.8,96.1,0.0,5,set(),"['69784', '65026']"
31147,AMAROS REGULATOR,2019-10-09 - 2019-11-09,274.5,0.0,-7.4,102.7,-0.0,0.0,4,set(),[]
31153,LVBCEXT-4,2019-10-09 - 2019-11-09,281.9,203.3,32.1,88.6,86.4,0.0,5,set(),[]
31163,LVBCEXT-5,2019-10-09 - 2019-11-09,46.6,26.1,-2.7,105.7,111.3,0.0,7,set(),[]
31195,LVBCEXT-6,2019-10-09 - 2019-11-09,23.2,3.2,-3.1,113.5,4015.6,0.0,3,set(),['69433']
31205,LVBCEXT-7,2019-10-09 - 2019-11-09,23.1,0.0,7.0,69.8,0.0,0.0,3,set(),[]
