Water balance between SCOTTS RD REGULATOR (29355) and T14/1 (65041),,,,,,,,,,,
pool,pool_name,dates,IN (ML),delivered (ML),balance (ML),rubicon_PE (%),MI_PE (%),manually_read (ML),total meters,meters not used,negative meters
29355,SCOTTS RD REGULATOR,2019-10-09 - 2019-11-09,3560.1,213.3,-297,108.3,-254.8,0,62,set(),"['64603', '64609', '64612', '64618', '64630', '64639', '64660', '64675', '64672', '64678', '64744', '64720', '64723', '64717', '64732', '69553', '64741', '70399', '64750', '64756']"
30239,ANDREATTAS REGULATOR,2019-10-09 - 2019-11-09,3643.8,382.3,320.7,91.2,54.4,0,28,{'30417'},"['64771', '64783', '64786', '67474', '70201']"
30460,JONES REGULATOR,2019-10-09 - 2019-11-09,2940.7,55.9,165.9,94.4,25.2,0,10,{'30502'},['64810']
30516,DELUCHIS REGULATOR,2019-10-09 - 2019-11-09,2719,0,-228.1,108.4,0,0,6,set(),[]
30525,NERICON REGULATOR,2019-10-09 - 2019-11-09,2947.1,765.3,427.3,85.5,64.2,82.6,48,{'30773'},"['70195', '64822', '64834', '64837', '64885', '67507', '64900', '64909']"
30822,APOLONIS REGULATOR,2019-10-09 - 2019-11-09,1754.5,34.8,17,99,67.2,8.3,8,set(),['70216']
30840,OVERS REGULATOR,2019-10-09 - 2019-11-09,1702.7,42.7,-39.3,102.3,1276.2,0,14,set(),"['67510', '67513']"
30868,QUARY RD REGULATOR,2019-10-09 - 2019-11-09,1699.4,536.1,86.6,94.9,86.1,0,20,{'59753'},"['67516', '64966', '64972', '64981', '64975']"
30996,SCARFONES REGULATOR,2019-10-09 - 2019-11-09,1076.6,65.4,-5430.2,604.4,-1.2,0,7,set(),"['64987', '64996', '64993', '64990']"
31050,FRASER RD REGULATOR,2019-10-09 - 2019-11-09,6441.4,60.5,5495.6,14.7,1.1,0,8,set(),"['64999', '65002', '65005', '65011']"
31075,WOODS REGULATOR,2019-10-09 - 2019-11-09,885.3,289.8,-70.3,107.9,132,0,7,set(),['65014']
31109,BOORGA RD REGULATOR,2019-10-09 - 2019-11-09,665.8,172.3,97.5,85.4,63.9,0,4,set(),['69787']
31128,ROMBOLAS REGULATOR,2019-10-09 - 2019-11-09,396,111.1,6.5,98.4,94.4,0,5,set(),"['69784', '65026']"
31147,AMAROS REGULATOR,2019-10-09 - 2019-11-09,278.4,0,-7.4,102.7,0,0,4,set(),[]
31153,LVBCEXT-4,2019-10-09 - 2019-11-09,285.8,203.4,34.7,87.9,85.4,0,5,set(),[]
31163,LVBCEXT-5,2019-10-09 - 2019-11-09,47.7,27.2,-2.7,105.7,111.1,0,7,set(),[]
31195,LVBCEXT-6,2019-10-09 - 2019-11-09,23.3,3.3,-3.2,114,3434.3,0,3,set(),['69433']
31205,LVBCEXT-7,2019-10-09 - 2019-11-09,23.2,0,6.7,71.3,0,0,3,set(),[]
